first_7_chars,last_7_chars,Name
2022-07-08,_MDCNGB2,2022-07-08_142402_MDCNGB2
2022-07-08,_MDCNGB3,2022-07-08_143109_MDCNGB3
2022-07-08,_MDCNGB4,2022-07-08_143844_MDCNGB4
2022-07-08,_MDCNGB5,2022-07-08_144832_MDCNGB5
2022-07-08,_MDCNGB6,2022-07-08_145600_MDCNGB6
2022-07-26,_MDCBGB1,2022-07-26_174240_MDCBGB1
2022-07-26,_MDCBGB2,2022-07-26_174659_MDCBGB2
2022-07-26,_MDCBGB3,2022-07-26_174909_MDCBGB3
2022-07-26,_MDCBGB4,2022-07-26_175512_MDCBGB4
2022-07-26,_MDCBGB5,2022-07-26_175907_MDCBGB5
2022-07-27,_MDCNGB4,2022-07-27_154021_MDCNGB4
2022-07-27,_MDCNGB5,2022-07-27_154556_MDCNGB5
2022-08-04,_MDCNGB1,2022-08-04_151739_MDCNGB1
2022-08-04,_MDCNGB2,2022-08-04_152225_MDCNGB2
2022-08-04,_MDCNGB3,2022-08-04_153143_MDCNGB3
2022-08-04,_MDCNGB4,2022-08-04_154256_MDCNGB4
2022-08-04,_MDCNGB5,2022-08-04_154645_MDCNGB5
2022-08-24,_MDCNGB2,2022-08-24_145656_MDCNGB2
2022-08-24,_MDCNGB4,2022-08-24_150846_MDCNGB4
2022-08-30,MDCBGB12,2022-08-30_160336_MDCBGB12
2022-08-30,_MDCBGB1,2022-08-30_143623_MDCBGB1
2022-08-30,_MDCBGB2,2022-08-30_143923_MDCBGB2
2022-08-30,_MDCBGB3,2022-08-30_144736_MDCBGB3
2022-08-30,_MDCBGB4,2022-08-30_145126_MDCBGB4
2022-08-30,_MDCBGB8,2022-08-30_151428_MDCBGB8
2022-08-30,_MDCBGB9,2022-08-30_151654_MDCBGB9
2022-09-01,_MDCNGB2,2022-09-01_144504_MDCNGB2
2022-09-01,_MDCNGB3,2022-09-01_145101_MDCNGB3
2022-09-01,_MDCNGB4,2022-09-01_145131_MDCNGB4
2022-09-01,_MDCNGB5,2022-09-01_145737_MDCNGB5
2022-09-01,_MDCNGB6,2022-09-01_145805_MDCNGB6
