,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,381,2022-08-30_151704_MDCBGB9,2,2,-3.73,True,0
1,72,2022-07-08_144244_MDCNGB4,1,2,-3.4664407,False,-1
2,141,2022-07-26_175642_MDCBGB4,0,2,-3.3497143,False,-2
3,63,2022-07-08_144114_MDCNGB4,0,0,-3.270164,True,0
4,23,2022-07-08_143119_MDCNGB3,0,2,-3.1981537,False,-2
5,384,2022-08-30_151734_MDCBGB9,0,1,-3.5925806,False,-1
6,48,2022-07-08_143844_MDCNGB4,0,0,-2.640274,True,0
7,57,2022-07-08_144014_MDCNGB4,0,2,-3.56625,False,-2
8,193,2022-07-27_154208_MDCNGB4,0,0,-2.6587691,True,0
9,362,2022-08-30_145246_MDCBGB4,0,1,-3.8837037,False,-1
10,274,2022-08-24_145231_MDCNGB1,0,2,-3.2553124,False,-2
11,404,2022-08-30_151914_MDCBGB9,0,1,-3.9915385,False,-1
12,95,2022-07-08_145700_MDCNGB6,0,2,-3.3775861,False,-2
13,394,2022-08-30_160336_MDCBGB12,0,2,-3.2858462,False,-2
14,140,2022-07-26_175632_MDCBGB4,0,0,-2.996923,True,0
15,237,2022-08-04_152325_MDCNGB2,0,1,-3.979649,False,-1
16,60,2022-07-08_144044_MDCNGB4,0,1,-3.5485485,False,-1
17,90,2022-07-08_145612_MDCNGB6,2,0,-3.0355556,False,2
18,64,2022-07-08_144124_MDCNGB4,0,0,-3.2028787,True,0
19,374,2022-08-30_151542_MDCBGB8,0,2,-3.7061038,False,-2
20,236,2022-08-04_152315_MDCNGB2,0,1,-3.988868,False,-1
21,5,2022-07-08_142452_MDCNGB2,0,1,-3.818868,False,-1
22,66,2022-07-08_144144_MDCNGB4,0,0,-3.0615518,True,0
23,346,2022-08-30_144806_MDCBGB3,1,2,-3.7037663,False,-1
24,352,2022-08-30_144906_MDCBGB3,2,2,-3.4704616,True,0
25,2,2022-07-08_142422_MDCNGB2,1,2,-3.3533332,False,-1
26,195,2022-07-27_154228_MDCNGB4,0,0,-2.6582813,True,0
27,358,2022-08-30_145206_MDCBGB4,0,1,-3.7527273,False,-1
28,360,2022-08-30_145226_MDCBGB4,0,1,-3.758,False,-1
29,56,2022-07-08_144004_MDCNGB4,0,2,-3.6089063,False,-2
30,327,2022-08-30_143633_MDCBGB1,0,0,-3.4151666,True,0
31,239,2022-08-04_152345_MDCNGB2,1,1,-3.885283,True,0
32,246,2022-08-04_152455_MDCNGB2,0,0,-3.6474576,True,0
33,1,2022-07-08_142412_MDCNGB2,0,0,-3.122909,True,0
34,132,2022-07-26_175512_MDCBGB4,0,0,-3.013182,True,0
35,366,2022-08-30_145326_MDCBGB4,0,0,-3.8096924,True,0
36,289,2022-08-24_145706_MDCNGB2,0,0,-3.579672,True,0
37,365,2022-08-30_145316_MDCBGB4,0,0,-3.852456,True,0
38,221,2022-08-04_151809_MDCNGB1,1,1,-3.9573214,True,0
39,463,2022-09-01_144514_MDCNGB2,0,0,-3.5098305,True,0
40,279,2022-08-24_145321_MDCNGB1,0,0,-3.1176922,True,0
41,70,2022-07-08_144224_MDCNGB4,0,0,-3.1104918,True,0
